"Dataset","Preprocessing","Var_Selection","PLS_Method","ncomp","R2","RMSE","MAE"
"Dataset 1 with Ref 2","1st_Der","UVE","widekernelpls",1,0.110286463508663,1.59417964823023,0.918148718713425
"Dataset 1 with Ref 2","1st_Der","GA","simpls",2,0.0553717591152342,1.75798204524179,1.16353365908385
"Dataset 1 with Ref 2","1st_Der","GA","nipals",17,-0.329865781512659,1.85095348052023,1.20585914509846
"Dataset 1 with Ref 2","1st_Der","GA","kernelpls",2,-0.0909116120750524,1.77014694649725,1.11294773929322
"Dataset 1 with Ref 2","1st_Der","GA","widekernelpls",2,0.00855987776723,1.77782019948317,1.13974036794278
"Dataset 1 with Ref 2","2nd_Der","None","simpls",6,0.0845485652869678,1.69840140419151,1.05794149940784
"Dataset 1 with Ref 2","2nd_Der","None","nipals",20,0.0687933239908064,1.75311563813987,1.05115717920294
"Dataset 1 with Ref 2","2nd_Der","None","kernelpls",3,0.169622469821414,1.65610017683465,0.969029148483031
"Dataset 1 with Ref 2","2nd_Der","None","widekernelpls",3,0.0725500952143419,1.6825780919171,1.01577767632116
"Dataset 1 with Ref 2","2nd_Der","VIP","simpls",7,0.137410948376009,1.66104169511571,0.955240581868188
"Dataset 1 with Ref 2","2nd_Der","VIP","nipals",16,0.0707116121455871,1.69313313707463,0.971532589659643
"Dataset 1 with Ref 2","2nd_Der","VIP","kernelpls",8,0.0475885388764949,1.74179096826336,1.01072684324078
"Dataset 1 with Ref 2","2nd_Der","VIP","widekernelpls",3,0.101152261112107,1.66694534435032,0.941289558560607
"Dataset 1 with Ref 2","2nd_Der","SR","simpls",2,0.158835370923846,1.66521176833879,0.906867272363323
"Dataset 1 with Ref 2","2nd_Der","SR","nipals",20,0.0495713680779037,1.74893516337775,1.01414339600354
"Dataset 1 with Ref 2","2nd_Der","SR","kernelpls",2,0.0616591378460817,1.71023053764586,0.959907547380227
"Dataset 1 with Ref 2","2nd_Der","SR","widekernelpls",3,0.112806523565323,1.63672090059428,0.98630353712295
"Dataset 1 with Ref 2","2nd_Der","sMC","simpls",3,-0.0148228523549299,1.73161550716229,1.04247084691141
"Dataset 1 with Ref 2","2nd_Der","sMC","nipals",20,0.00695199545570502,1.76338942222909,1.06368021220634
"Dataset 1 with Ref 2","2nd_Der","sMC","kernelpls",3,-0.0941972889340916,1.78755810531915,1.07749608365326
"Dataset 1 with Ref 2","2nd_Der","sMC","widekernelpls",8,-0.083239540959191,1.76848430416517,1.05391419095459
"Dataset 1 with Ref 2","2nd_Der","UVE","simpls",1,0.00286030084244004,1.7172048879032,1.037878577331
"Dataset 1 with Ref 2","2nd_Der","UVE","nipals",1,-0.0174138090974685,1.73740619291204,1.03555509746936
"Dataset 1 with Ref 2","2nd_Der","UVE","kernelpls",1,-0.168898425679139,1.70476372655184,1.00912493895891
"Dataset 1 with Ref 2","2nd_Der","UVE","widekernelpls",1,0.0901225607392262,1.65339682485982,0.97658492071554
"Dataset 1 with Ref 2","2nd_Der","GA","simpls",3,0.106714187700676,1.71724676335007,1.09225786757528
"Dataset 1 with Ref 2","2nd_Der","GA","nipals",19,-0.490942961018963,1.93498557669399,1.2077007115364
"Dataset 1 with Ref 2","2nd_Der","GA","kernelpls",3,-0.0432228772397315,1.7327607183985,1.07503808937402
"Dataset 1 with Ref 2","2nd_Der","GA","widekernelpls",6,0.0362571026833152,1.74227336246148,1.11504763848279
"Dataset 1 with Ref 2","EMSC","None","simpls",3,0.220122099324171,1.54848973750989,0.880393186855769
"Dataset 1 with Ref 2","EMSC","None","nipals",11,0.222618149939305,1.60026020362382,0.911380316763664
"Dataset 1 with Ref 2","EMSC","None","kernelpls",3,0.178374487203157,1.64406706100647,0.93824915206438
"Dataset 1 with Ref 2","EMSC","None","widekernelpls",3,0.0933729370814198,1.63204310905185,0.923236423036739
"Dataset 1 with Ref 2","EMSC","VIP","simpls",6,-167.936507646465,19.2969017299301,13.8097710078311
"Dataset 1 with Ref 2","EMSC","VIP","nipals",2,-346.49277190826,28.7973141400657,20.7734687195555
"Dataset 1 with Ref 2","EMSC","VIP","kernelpls",17,-379.022426982382,32.1495571059011,22.9462555084604
