"Dataset","Preprocessing","Var_Selection","ncomp","R2_CV","RMSECV","RPD_CV"
"Dataset 1 with Ref 3","2nd_Der","SR",1,0.163434921326923,0.157870659032465,1.3380630576244
"Dataset 1 with Ref 3","2nd_Der","sMC",2,0.184840793766355,0.155837787975703,1.35551780783165
"Dataset 1 with Ref 3","2nd_Der","UVE",4,0.084747423524441,0.165128500134909,1.27925159231493
"Dataset 1 with Ref 3","2nd_Der","GA",1,0.171596545907151,0.157098669410608,1.34463835706997
"Dataset 1 with Ref 3","EMSC","None",9,0.397197286989154,0.134010601123897,1.57629989689292
"Dataset 1 with Ref 3","EMSC","VIP",8,0.378030635139847,0.13612442339838,1.55182215990692
"Dataset 1 with Ref 3","EMSC","SR",1,0.312296406657997,0.143137096348654,1.47579420096393
"Dataset 1 with Ref 3","EMSC","sMC",9,0.463244310525886,0.126456129324119,1.67046783626223
"Dataset 1 with Ref 3","EMSC","UVE",2,0.446251542256529,0.128442225226145,1.64463747309136
"Dataset 1 with Ref 3","EMSC","GA",9,0.511237990893922,0.120670267877867,1.75056292199467
"Dataset 1 with Ref 3","RNV","None",3,0.220142248394762,0.152426070155062,1.38585805249236
"Dataset 1 with Ref 3","RNV","VIP",2,0.201345349212065,0.154252094105205,1.36945237573296
"Dataset 1 with Ref 3","RNV","SR",2,0.0228640931621535,0.170619648321745,1.23808071820552
"Dataset 1 with Ref 3","RNV","sMC",3,0.200221574262536,0.154360578857846,1.3684899233806
"Dataset 1 with Ref 3","RNV","UVE",2,0.192376808529647,0.155115767813124,1.361827361024
"Dataset 1 with Ref 3","RNV","GA",3,0.187332059046181,0.155599472350746,1.35759391431603
"Dataset 1 with Ref 4","Raw","None",4,0.146834263855235,0.138079584909541,1.32468997023317
"Dataset 1 with Ref 4","Raw","VIP",3,0.209313875293328,0.132927497538721,1.37603313543421
"Dataset 1 with Ref 4","Raw","SR",1,0.0365647477149246,0.14673172954645,1.24657864927384
"Dataset 1 with Ref 4","Raw","sMC",2,0.194377528043017,0.134177147847336,1.36321753859117
"Dataset 1 with Ref 4","Raw","UVE",7,-0.0169908956613798,0.150754853355595,1.21331179164217
"Dataset 1 with Ref 4","Raw","GA",4,0.200824393122418,0.133639203892104,1.36870496004531
"Dataset 1 with Ref 4","SNV","None",10,0.471295067574967,0.108697473845238,1.6827680971138
"Dataset 1 with Ref 4","SNV","VIP",9,0.439109208141595,0.111957173389474,1.63377330532735
"Dataset 1 with Ref 4","SNV","SR",5,0.470675881706089,0.108761105033127,1.68178358585007
"Dataset 1 with Ref 4","SNV","sMC",8,0.450099047945271,0.110854928417047,1.65001812581118
"Dataset 1 with Ref 4","SNV","UVE",2,0.49927928731173,0.105781701508732,1.7291520046927
"Dataset 1 with Ref 4","SNV","GA",9,0.496200937138048,0.106106367693458,1.72386111408568
"Dataset 1 with Ref 4","1st_Der","None",2,0.192308391443952,0.134349345632837,1.36147028005265
"Dataset 1 with Ref 4","1st_Der","VIP",2,0.161172646940037,0.136914379323888,1.33596370320553
"Dataset 1 with Ref 4","1st_Der","SR",2,0.16221805312219,0.136829036517109,1.33679696853495
"Dataset 1 with Ref 4","1st_Der","sMC",2,0.173056677181217,0.135941057015681,1.34552904942124
"Dataset 1 with Ref 4","1st_Der","UVE",1,0.203752315004829,0.133394173769977,1.37121911740344
"Dataset 1 with Ref 4","1st_Der","GA",2,0.168133038785849,0.136345154401246,1.34154119394181
"Dataset 1 with Ref 4","2nd_Der","None",1,0.131249295461969,0.139335042680045,1.31275404740537
"Dataset 1 with Ref 4","2nd_Der","VIP",2,0.168153785455637,0.136343454174128,1.34155792319906
